artist,variant,prompt_type,LPIPS_SGR,CLIP_SGR,DINO_SGR
vangogh,paper_setting,name_matched,12.60,5.30,25.07
vangogh,paraphrase,name_kept,10.97,3.59,21.97
vangogh,styledesc,no_name,1.08,2.35,6.44
tyleredlin,paper_setting,name_matched,14.70,8.55,26.67
tyleredlin,paraphrase,name_kept,12.21,7.42,21.57
tyleredlin,styledesc,no_name,9.64,6.02,17.28
kilianeng,paper_setting,name_matched,7.59,5.63,19.88
kilianeng,paraphrase,name_kept,8.89,5.65,20.89
kilianeng,styledesc_v1,no_name,5.88,5.86,22.33
kilianeng,styledesc_v2,no_name,5.70,5.43,17.37
